temp_id,nombre,correo,telefono,direccion_nombre,longitud,latitud,municipio,fecha_registro
a061953f-7dd3-4a2e-8273-0aa0e4a38c88,Rosalia Jaime Otero,geronimobarreto@example.org,1-244-329-9697x8862,Circuito Covarrubias,-89.106076,26.426047,Vieja Georgia,2023-10-22
1c141d22-c0d5-41fb-ac98-c2a1bb667730,Víctor Ocasio Tijerina,bernalirma@example.org,054.197.1853x37999,Calle Sur Godoy,-114.507564,29.513306,San Victoria los bajos,2024-03-26
514ce8bc-2d0c-41aa-9de0-eab51359f2ff,Genaro Luz Aparicio Trejo,leyvamonica@example.com,811-538-4325,Corredor Norte Cedillo,-104.109775,31.944749,Nueva Austria,2024-06-06
ef0029b4-02bf-45d5-afb1-19ada9dbada9,Cristobal Ibarra Ocampo,parrapatricio@example.net,1-873-916-5152,Boulevard Barreto,-100.883388,16.954176,San Dolores de la Montaña,2023-12-06
17931e3c-e2cc-419e-b240-5546c4ea4af4,Leonor Emiliano Concepción,geronimo39@example.com,063.501.6410x032,Boulevard Tlaxcala,-96.720943,28.888329,San Genaro los altos,2023-09-21
051a5898-8d19-42ae-88e5-f69ac6a5dc9b,Sr(a). Alma Estrada,baezasilvia@example.org,762.247.3197,Calle Yucatán,-109.573872,31.023557,San Florencia de la Montaña,2024-05-17
33a05c8f-acb7-4c1f-87f4-98faeffc1abf,Marcela Balderas,zvalle@example.com,151-288-1531x7261,Andador Zacatecas,-99.992764,14.682802,San Marisol de la Montaña,2024-03-10
d939affe-b07c-4f50-985d-1f6cffbef71b,Rolando Guillen Nieto,reynosogabriel@example.com,1-926-788-8332,Avenida San Luis Potosí,-98.032689,30.808383,San Genaro de la Montaña,2024-08-21
27fc04dd-f134-43c3-9e6e-f3962d5a8943,Santiago Hugo Orta Viera,claudiaramirez@example.net,1-925-276-0688x984,Prolongación Croacia,-106.967691,24.174016,Nueva Irán,2024-06-19
0beacc96-7647-4e04-ba5d-d34e441c518c,Diana Rafaél Vela Bernal,jose-manuelordonez@example.com,04356412399,Viaducto Galván,-114.390208,28.203453,Vieja Alemania,2024-09-03
e7134f1b-6d13-460c-999e-18094710d9a3,Carmen Rolón,aurora08@example.com,1-279-174-8765x1833,Avenida Swazilandia,-92.86331,30.255444,San Antonia los bajos,2024-03-11
c6df88f7-ced6-46c2-a014-841e19aebafa,Gabriela Marcos Bustamante Bermúdez,eugenio78@example.org,387.337.0493,Circunvalación Chávez,-90.120378,24.760399,San Elena de la Montaña,2023-12-18
96113c13-b439-42da-9538-e429116faf2d,Mtro. Sergio Terrazas,hcortes@example.org,1-066-491-2391x76953,Circunvalación República Árabe Siria,-106.33709,31.154241,Vieja Costa Rica,2024-10-24
6f76b98f-d165-410a-bac3-53d798354384,Blanca Renato Gallardo,ugalvez@example.net,1-504-541-4663x33417,Retorno Nayarit,-104.108167,23.095852,Vieja Myanmar,2025-01-27
cba4ee97-749c-4b67-9f85-c0262be8cd64,Graciela Ilse Matías,renede-la-o@example.com,279.355.5987x30377,Privada Brunei Darussalam,-87.542229,31.435852,San Judith de la Montaña,2024-12-11
368cf939-c9ea-4174-97e6-2f659940406b,Nancy Esperanza Nieves Orosco,omar01@example.com,878-403-9588,Circunvalación República Democrática del Congo,-88.919021,22.310883,San Helena los altos,2024-01-27
c3db9a00-d4b2-4b1e-aa42-e741542e1ce0,Lic. Sessa Jáquez,corralsalma@example.com,956.111.4761,Boulevard Zacatecas,-110.553787,25.635221,San Soledad los altos,2024-11-28
5fe14f61-3074-42f6-9e27-2497451b5776,Camila Clemente Rincón,florencia51@example.org,(659)127-0719x29167,Circuito Norte Perales,-111.22603,24.909865,San Socorro los altos,2024-12-08
